country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Canada,22156,23742,25041,26570,28384,29903,31321,33020,34901,36624,CAN
Sao Tome and Principe,77.54,87.43,98.71,107.4,118.8,131.1,144.9,163.1,182.9,204.3,STP
Turkmenistan,,,,,3900,4355,4610,4870,5268,5758,TKM
United States of America,213352,223324,234133,245403,257454,272137,287507,300595,313335,324459,USA
United Republic of Tanzania,14507,17018,19892,23199,27220,31635,36106,41924,49083,57310,TZA
Lithuania,,,,,3688,3580,3445,3260,3037,2890,LTU
Cambodia,7300,7194,6918,8196,9622,11296,12635,13677,14777,16005,KHM
Ethiopia,,,,,,60976,70497,81000,92444,104957,ETH
Palestine,1180,1398,1600,1879,2287,2871,3379,3752,4295,4921,PSE
Argentina,24783,26879,28994,31326,33655,35834,37889,39970,42097,44271,ARG
Cameroon,6875,7891,9159,10696,12409,14165,16085,18395,21082,24054,CMR
Burkina Faso,5825,6399,7158,8140,9297,10666,12293,14252,16571,19193,BFA
Ghana,9084,10190,11488,13481,15464,17609,19925,22700,25733,28834,GHA
Saudi Arabia,6394,8232,11048,14526,17379,19506,21906,25253,29086,32938,SAU
Japan,107977,114839,119616,123083,125341,126903,127903,128505,128426,127484,JPN
Slovenia,,,,,2006,1988,1988,2014,2060,2080,SVN
Guatemala,5942,6766,7655,8639,9709,10888,12209,13700,15271,16914,GTM
Bosnia and Herzegovina,,,,,4239,3752,3776,3774,3648,3507,BIH
Kuwait,854.6,1157,14104,1943,1917,1715,2144,2503,3396,4137,KWT
Russian Federation,,,,,148318,147768,145195,143150,143421,143990,RUS
Jordan,1881,2176,2560,3128,3968,4832,5287,6193,7993,9702,JOR
Dominica,71.73,73.41,75.17,72.37,70.97,70.75,69.82,70.95,72.04,73.92,DMA
Liberia,1494,1720,2032,2191,2023,2358,3063,3513,4182,4732,LBR
Maldives,123.4,144.7,170,203.1,236.2,264.3,294.3,336.1,386.2,436.3,MDV
Jamaica,1935,2081,2235,2379,2465,2587,2695,2775,2841,2890,JAM
Oman,776.4,977.8,1290,1620,1983,2250,2334,2663,3465,4636,OMN
North Macedonia,,,,,1989,2000,2049,2065,2074,2083,MKD
Cabo Verde,273.7,275.8,297.3,324.9,359.1,408.2,452.1,486.4,514,546.4,CPV
Seychelles,55.13,62.5,68.17,70.01,72.71,78.46,84.2,90.28,92.28,94.74,SYC
Gabon,613.1,678.8,766.9,876.9,1005,1142,1294,1489,1757,2025,GAB
Niue,4.724,3.686,3.127,2.521,2.258,2.067,1.789,1.651,1.623,1.618,NIU
Monaco,24.05,25.81,27.62,29.17,29.86,31.25,32.63,35.11,37.78,38.7,MCO
New Zealand,2930,3122,3189,3311,3503,3752,3963,4233,4468,4706,NZL
Yemen,6407,7272,8765,10629,13326,16409,18919,21752,24910,28250,YEM
Andorra,26.89,32.77,39.11,48.46,58.89,64.33,70.05,82.68,82.43,76.96,AND
Albania,2254,2518,2788,3121,3241,3093,3119,3024,2920,2930,ALB
Samoa,147.3,153.2,157.4,161,165.6,172.2,176.6,182.3,189.2,196.4,WSM
United Arab Emirates,332.8,748.1,1190,1561,2087,2700,3507,6044,8900,9400,ARE
India,579412,650485,729868,816793,906021,997405,1089807,1179681,1263066,1339180,IND
Azerbaijan,,,,,7472,7926,8277,8724,9265,9828,AZE
Lesotho,1076,1211,1377,1525,1667,1810,1902,1982,2090,2233,LSO
Saint Vincent and the Grenadines,92.46,97.65,102.2,105.9,108,108,108.1,109,109.3,109.9,VCT
Kenya,12083,14528,17559,21119,24964,28954,33214,38086,43647,49700,KEN
Tajikistan,,,,,5503,5934,6448,7152,7995,8921,TJK
Turkey,36587,41108,46025,410401,55749,60372,65143,69597,74570,80745,TUR
Afghanistan,11722,13068,12750,11503,13981,18382,21980,26617,30697,35530,AFG
Bangladesh,67597,74926,86007,98344,111222,123855,136601,147139,155727,164670,BGD
Mauritania,1218,1407,1625,1871,2141,2472,2873,3313,3830,4420,MRT
Iran (Islamic Republic of),30074,34811,41883,410497,58261,62711,67983,72031,76454,81163,IRN
Viet Nam,45549,50900,56932,63881,71130,77453,81956,85890,90452,95541,VNM
Saint Lucia,106.5,112.8,121.2,131,141.9,151.1,159.8,167.3,174.8,178.8,LCA
San Marino,19.4,20.3,21.94,23.21,24.75,26.51,28.12,29.98,31.91,33.4,SMR
Mongolia,1357,1562,1778,2033,2244,2336,2444,2592,2814,3076,MNG
France,51740,53516,54548,56025,57497,58763,60225,61961,63640,64980,FRA
Syrian Arab Republic,6800,8061,9590,11361,13187,15177,17088,19633,20421,18270,SYR
Rwanda,3984,4648,5489,6732,6702,6522,8536,9447,10789,12208,RWA
Slovakia,,,,,,5391,5400,5398,5417,5448,SVK
Somalia,3475,4827,6716,7018,7489,8137,9564,11039,12764,14743,SOM
Peru,14072,16061,18226,20452,22737,24827,26601,28293,30159,32165,PER
Vanuatu,90.82,106.2,121.4,136.1,155.2,175,194,220,247.5,276.2,VUT
Nauru,6.743,7.232,7.717,8.554,9.546,10.06,10.08,10,10.48,11.36,NRU
Norway,3934,4044,4112,4187,4293,4420,4546,4720,5012,5305,NOR
Malawi,4860,5628,6484,8120,9730,10382,12014,13841,16097,18622,MWI
Cook Islands,21.42,19.2,17.39,17.97,18.71,18.57,18.7,19.41,18,17.38,COK
Benin,3044,3433,3928,4535,5332,6282,7295,8455,9729,11176,BEN
Cuba,9025,9635,9926,10270,10733,11014,11218,11304,11382,11485,CUB
Montenegro,,,,,,,,619.5,626.4,629,MNE
Saint Kitts and Nevis,44.33,43.94,42.76,41.35,41.36,43.85,46.64,49.78,52.59,55.34,KNA
Togo,2248,2519,2915,3474,3973,4535,5251,5997,6859,7798,TGO
China,885288,973487,1045912,1136800,1231002,1287309,1327998,1367036,1406131,1441131,CHN
Armenia,,,,,3443,3133,3034,2933,2882,2930,ARM
Republic of Korea,33518,36482,39180,41691,43853,46203,48005,49062,49952,50982,KOR
Dominican Republic,4760,5412,6079,6765,7469,8163,8832,9504,10155,10767,DOM
Bolivia (Plurinational State of),4698,5234,5835,6465,7132,7871,8653,9441,10239,11052,BOL
Ukraine,,,,,51417,50189,47980,46386,45349,44223,UKR
Bahrain,229.2,303.2,386,449,523.1,594.9,735.1,1036,1300,1493,BHR
Tonga,86.35,90.3,93.68,94.38,95.5,96.72,99.18,102.4,105,108,TON
Finland,4651,4747,4835,4946,5045,5152,5213,5298,5413,5523,FIN
Libya,2327,2866,3480,4110,4651,41047,5528,5970,6198,6375,LBY
Indonesia,121060,137322,154506,171729,187766,202826,217508,232989,248883,263991,IDN
Central African Republic,1900,2110,2419,2755,3096,3517,3908,4276,4490,4659,CAF
Mauritius,852.4,922.3,988.9,1030,1083,1154,1202,1234,1253,1265,MUS
Liechtenstein,22.15,24.44,26.52,27.8,29.5,31.84,34.02,35.32,36.54,37.92,LIE
Belarus,,,,,10220,10073,9807,9537,9472,9468,BLR
Mali,6147,6712,7388,8068,8868,10114,11639,13676,16007,18542,MLI
Sweden,8127,8251,8329,8421,8687,8869,8921,9163,9541,9911,SWE
Bulgaria,8609,8802,8931,8960,8676,8212,7866,7567,7310,7085,BGR
Romania,21012,22084,22842,23312,23373,22633,21855,21036,20171,19679,ROU
Angola,7095,8131,9582,11218,12968,15089,17573,20998,25096,29784,AGO
Chad,3815,4254,4715,5408,6349,7493,9002,10776,12705,14900,TCD
South Africa,24148,27597,31330,35230,39360,43657,47026,49887,52998,56717,ZAF
Tokelau,1.573,1.556,1.62,1.697,1.558,1.547,1.435,1.141,1.167,1.3,TKL
Cyprus,628,665.5,691.7,723.4,800.6,891.2,977,1064,1135,1180,CYP
Brunei Darussalam,142.1,174.8,206.1,237.6,274,312,346.9,374.9,399.7,428.7,BRN
Qatar,130.5,182.4,277.4,422.3,495.5,534.6,645.7,1190,2110,2639,QAT
Malaysia,11324,12791,14471,16525,19013,21565,24199,26626,29170,31624,MYS
Austria,7581,7637,7602,7639,7831,8033,8134,8312,8518,8735,AUT
Mozambique,9596,10937,12409,13021,14071,16701,19140,22188,25677,29669,MOZ
Uganda,9988,11471,13323,15695,18653,21866,25718,30590,36307,42863,UGA
Hungary,10426,10637,10716,10475,10359,10309,10168,10024,9870,9722,HUN
Niger,4768,5491,6344,7324,8549,10180,12206,14668,17732,21477,NER
Brazil,100144,112868,126947,141273,154564,167545,180151,191027,200561,209288,BRA
Faroe Islands,40.01,42.28,44.31,46.62,47.1,46.25,47.77,48.45,48.67,49.29,FRO
Guinea,4298,4398,4691,5381,6759,8338,9137,10097,11281,12717,GIN
Panama,1608,1838,2074,2318,2576,2854,3149,3454,3773,4099,PAN
Republic of Moldova,,,,,4375,4285,4177,4129,4074,4051,MDA
Costa Rica,1947,2208,2521,2872,3257,3683,4063,4369,4654,4906,CRI
Luxembourg,409.8,414.1,417,419,425.3,432.8,443.7,474.7,532.4,583.5,LUX
Bahamas,177.8,197.1,220.3,243.4,266.1,287,309.2,342.3,372,395.4,BHS
Ireland,3030,3291,3505,3572,3589,3712,3976,4398,4678,4762,IRL
Pakistan,61338,70946,83446,98357,113747,129087,144654,160333,177912,197016,PAK
Palau,7.895,8.612,10.41,13.06,15.89,18.12,19.57,20.12,20.76,21.73,PLW
Nigeria,58663,67216,77473,88102,100222,113523,128667,146417,167297,190886,NGA
Ecuador,6429,7374,8393,9504,10706,11925,13072,14205,15420,16625,ECU
Australia,13297,14152,15041,16255,17486,18468,19475,20947,22822,24450,AUS
Algeria,15377,17690,20576,23918,27181,29887,31995,34300,37566,41318,DZA
El Salvador,3862,4330,4726,5054,5400,5728,5940,6083,6221,6378,SLV
Tuvalu,7.458,7.816,8.284,8.82,9.109,9.277,9.635,10.24,10.72,11.19,TUV
Czechia,,,,,,10339,10252,10357,10587,10618,Czechia
Solomon Islands,172.6,207.9,246.5,286.9,330,379.9,435.3,492.9,551.5,611.3,SLB
Marshall Islands,25.26,27.56,33.3,41.8,49.38,51.69,52.16,52.14,52.66,53.13,MHL
Chile,9923,10766,11616,12594,13671,14695,15624,16492,17310,18055,CHL
Puerto Rico,2787,3037,3269,3429,3587,3746,3796,3745,3698,3663,PRI
Belgium,9651,9752,9821,9868,10016,10193,10365,10698,11084,11429,BEL
Kiribati,52.82,56.81,60.92,67.26,74.77,80.18,87.34,96.31,106.6,116.4,KIR
Haiti,4877,5341,5955,6671,7387,8112,8835,9557,10289,10981,HTI
Belize,127.2,137,151.5,174.3,194.3,221.6,262.2,298.4,336.7,374.7,BLZ
Sierra Leone,2803,3135,3525,4035,4331,4305,4957,6015,6766,7557,SLE
Georgia,,,,,5298,4881,4625,4391,4108,3912,GEO
Lao People's Democratic Republic,2841,3136,3401,3905,4502,5057,5497,5950,6415,6858,LAO
Gambia,474.5,551.8,648.2,804.1,979.7,1128,1311,1539,1802,2101,GMB
Philippines,37925,43650,50068,57313,65075,73065,81352,89293,96867,104918,PHL
Morocco,16695,18637,21017,23498,25791,27826,29512,31226,33334,35740,MAR
Croatia,,,,,4733,4532,4396,4362,4297,4189,HRV
Guinea-Bissau,741.5,786.8,832.7,943.6,1063,1180,1294,1446,1638,1861,GNB
Thailand,39062,44416,49268,53964,57838,60864,64073,66196,67844,69038,THA
Switzerland,6270,6341,6342,6532,6815,7092,7244,7560,8032,8476,CHE
Grenada,93.93,90.18,93.09,99.38,97.2,101.1,102.1,103.6,105.5,107.8,GRD
Venezuela (Bolivarian Republic of),12286,14128,16186,18438,20799,23110,25409,27692,29893,31977,VEN
Iraq,10600,12461,14438,16290,18458,21509,24939,28390,32777,38275,IRQ
Portugal,8840,9484,9926,9971,10010,10233,10444,10630,10582,10330,PRT
Estonia,,,,,1521,1410,1383,1344,1325,1310,EST
Uruguay,2821,2857,2954,3050,3155,3271,3328,3340,3397,3457,URY
Mexico,55478,64346,72603,80503,88828,97282,104356,111836,120828,129163,MEX
Lebanon,2417,2606,2632,2672,2822,3093,3523,4086,4916,6082,LBN
Uzbekistan,,,,,21443,23715,25411,27292,29541,31911,UZB
Tunisia,5288,5915,6734,7692,8603,9384,9864,10298,10887,11532,TUN
Djibouti,179.2,277.5,385.3,490.3,615.1,661,746.2,809.4,881.2,957,DJI
Antigua and Barbuda,69.18,72.88,72.45,67.84,68.43,77.74,86.27,91.38,96.78,102,ATG
Spain,34761,36764,38310,39057,39515,40132,41986,45394,46857,46354,ESP
Colombia,23147,25905,29027,32324,35559,38645,41572,44375,46881,49066,COL
Burundi,3544,3821,4333,4988,5661,6112,6742,7940,9320,10864,BDI
Eswatini,472.2,550.1,639.2,766.7,906,1004,1081,1138,1248,1367,SWZ
Fiji,542.8,598.3,668.2,721.7,744.5,792.9,815.7,834.8,873.6,905.5,FJI
Barbados,241.4,248.8,253.8,257.6,262.2,266.9,271.5,276.2,281.6,285.7,BRB
Madagascar,6947,7998,9234,10648,12301,14348,16765,19434,22347,25571,MDG
Italy,54321,55845,56717,57089,57189,57185,57802,59313,59734,59360,ITA
Bhutan,318,373.3,431,500.4,531.5,528.8,606.4,687,753,807.6,BTN
Sudan,,,,,,,,,35990,40533,SDN
Serbia,,,,,,,,9135,8957,8791,SRB
Nepal,12499,13926,15607,17481,19774,22390,24566,26215,27650,29305,NPL
Malta,320.3,326.1,339.3,355.4,370.6,387.2,401.3,410.3,420.8,430.8,MLT
Democratic Republic of the Congo,21120,24248,27717,31530,37346,43830,49836,58418,68979,81340,COD
Netherlands,13292,13893,14295,14683,15166,15655,16110,16507,16789,17036,NLD
Suriname,371.3,361,364,383.7,422.8,456,483,509.7,537.1,563.4,SUR
Micronesia (Federated States of),52.11,56.84,68.68,86.21,101.4,108.5,107,105.1,103.5,105.5,FSM
Holy See,0.657,0.737,0.729,0.759,0.779,0.782,0.792,0.796,0.804,0.792,VAT
United Kingdom,55953,56262,56296,56709,57495,58347,59349,61415,64250,66182,GBR
Israel,3034,3514,3883,4216,4809,5632,6239,6923,7699,8322,ISR
Iceland,209.9,222.3,233.3,247.1,260.2,272.7,285.3,305.2,325.5,335,ISL
Zambia,4470,5318,6306,7386,8452,9667,11120,12726,14700,17094,ZMB
Senegal,4525,5190,5920,6894,8030,9197,10397,11874,13704,15851,SEN
Papua New Guinea,2660,3040,3495,3998,4536,5155,5862,6628,7431,8251,PNG
Trinidad and Tobago,968.7,1040,1121,1195,1237,1261,1278,1309,1342,1369,TTO
Zimbabwe,5536,6502,7722,9293,10683,11710,12501,13330,14711,16530,ZWE
Germany,78902,78702,77945,78054,80046,81500,81612,81344,81066,82114,DEU
Denmark,4991,5097,5123,41047,5172,5278,5373,5470,5611,5734,DNK
Kazakhstan,,,,,16481,15582,15106,15841,16921,18204,KAZ
Poland,33143,34567,36217,37539,38192,38539,38484,38330,38317,38171,POL
Eritrea,,,,,,3161,3615,4153,4561,5069,ERI
Kyrgyzstan,,,,,4454,4706,4991,5190,5594,6045,KGZ
Sri Lanka,13002,14273,15503,16648,17741,18477,19059,19811,20425,20877,LKA
Latvia,,,,,2620,2453,2332,2199,2066,1950,LVA
South Sudan,,,,,,,,,10818,12576,SSD
Guyana,721.9,762.4,781.2,757.5,748.1,760.5,751.9,747.9,753.1,777.9,GUY
C̫te d'Ivoire,5737,7249,9044,11020,13163,15446,17367,19086,21419,24295,CIV
Honduras,2882,3353,3911,4542,5248,6029,6863,7708,8506,9265,HND
Myanmar,27680,31144,34918,38673,41711,44372,47140,49172,50987,53371,MMR
Equatorial Guinea,292.6,246.7,290.6,390.2,455.1,544.6,666.4,829.3,1039,1268,GNQ
Egypt,36674,41026,46380,53066,60036,66151,72590,79537,87813,97553,EGY
Nicaragua,2550,2974,3436,3883,4331,4787,5172,5522,5877,6218,NIC
Singapore,2151,2315,2518,2820,3189,3649,4131,4733,5271,5709,SGP
Democratic People's Republic of Korea,15208,16797,18009,19432,20937,22336,23337,24203,24854,25491,PRK
Botswana,742.8,891.9,1076,1264,1456,1638,1780,1914,2089,2292,BWA
Timor-Leste,638.5,636.1,604.4,699.5,805.4,872,923.8,1065,1157,1296,TLS
Congo,1451,1687,1951,2249,2577,2962,3407,3976,4633,5261,COG
Greece,8770,9255,9804,10068,10451,10961,11217,11381,11378,11160,GRC
Paraguay,2597,2935,3367,3885,4433,4980,5509,5966,6379,6811,PRY
Namibia,829.4,949.2,1056,1246,1514,1759,1962,2080,2264,2534,NAM
Comoros,239.2,275.9,326.9,376.7,436.4,502,569.5,641.6,723.9,813.9,COM
